NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
--  of 172 --,137,COMMING SOON,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
--  of 100 --,100,General,0,WATERO,Extracted from WATERO Volume-01 HD.pdf
--  of 172 --,103,SS FLANGES,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
--  of 172 --,105, I N K 	B O 	 E,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
Adapter 90 to,110,HEAIN,110,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
--  of 172 --,119,COMMING SOON,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
collections -  and KLASSIC.,AURUM,BUILT FOR THE WORLD.,0,Price,Extracted from Price List 2026.pdf
Gold,PVD,HEAIN,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
rapid,TAT,UNMATCHED QUALITY.,0,Price,Extracted from Price List 2026.pdf
"-CP 	 7,975",KB2911010-ND,FAUCET,7975,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 5,",450,PRICE,5450,Price,Extracted from Price List 2026.pdf
Per Piece `,475,KEY HIGHLIGHTS,475,Price,Extracted from Price List 2026.pdf
"White Per Piece ` 4,",000,SANITARYWARE,4000,Price,Extracted from Price List 2026.pdf
"` 1,",700,SANITARYWARE,1700,Price,Extracted from Price List 2026.pdf
-MBK,KB2911011-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911023-CP,KB2911023-CP,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
LEVER BASIN MIXER TRIMS,SINGLE,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
( WITH KA570037-MB),COMPATIBLE,ABS ROUND SHOWER ARM,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911001-CP,KB2911001-CP,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911002-CP,KB2911002-CP,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
2  HI-FLOW CONCEALED,INLET,CHIME,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
,200,EIHT,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
Product KB2911005-CP,KB2911005-CP,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911004-CP,KB2911004-CP,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
2  SINK MIXER WITH SWIVEL SPOUT,WAY,SINGLE LEVER DECK MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911003-CP,KB2911003-CP,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 5,",175,FAUCET,5175,Price,Extracted from Price List 2026.pdf
"Per Piece ` 2,/3,150/3,575",725,DRAINER,0,Price,Extracted from Price List 2026.pdf
,250,SEARCH RESULTS,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
,600,COMMING SOON,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
--  of 172 --,125,COMMING SOON,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
Per Piece `,775,ACCESSORIES,775,Price,Extracted from Price List 2026.pdf
Per Piece `,675,BATH ACCESSORIES,675,Price,Extracted from Price List 2026.pdf
Product KB2911023-RG,KB2911023-RG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911001-RG,KB2911001-RG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911002-RG,KB2911002-RG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Gloss 1 	35,325,", लजससे जल्�ी सूखतौा हैं	ै",325,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
to find what you need in our big catalogue of over  pages.,150,DEALER/CUSTOMER INFORMATION,0,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
